,Date,Open,Close,High,Low
161,2015-10-27,294.66,303.54,307.46,294.02
162,2015-10-28,303.54,313.63,318.48,300.16
163,2015-10-29,313.63,327.12,334.92,310.82
164,2015-10-30,327.12,311.24,333.25,304.6
165,2015-10-31,311.24,322.95,324.34,304.72
166,2015-11-01,322.95,359.28,365.75,319.75
167,2015-11-02,359.28,396.49,416.78,354.58
168,2015-11-03,396.49,400.89,492.8,368.62
169,2015-11-04,400.89,382.7,447.24,366.08
170,2015-11-05,382.7,369.81,396.35,348.84
171,2015-11-06,369.81,385.09,391.75,368.98
172,2015-11-07,385.09,371.56,389.78,365.49
173,2015-11-08,371.56,380.22,385.11,360.17
174,2015-11-09,380.22,336.69,381.38,323.21
175,2015-11-10,336.69,304.71,341.76,292.38
176,2015-11-11,304.71,333.85,346.13,306.07
177,2015-11-12,333.85,333.77,341.79,323.91
178,2015-11-13,333.77,331.77,369.8,326.35
179,2015-11-14,331.77,317.45,334.78,314.16
180,2015-11-15,317.45,330.21,332.01,314.06
181,2015-11-16,330.21,333.91,342.91,328.15
182,2015-11-17,333.91,335.92,337.39,329.42
183,2015-11-18,335.92,324.98,335.64,323.36
184,2015-11-19,324.98,321.12,327.06,309.48
185,2015-11-20,321.12,324.7,328.42,318.37
186,2015-11-21,324.7,322.78,326.94,319.35
187,2015-11-22,322.78,322.12,325.0,319.89
188,2015-11-23,322.12,318.35,323.26,315.54
189,2015-11-24,318.35,327.52,330.04,315.69
190,2015-11-25,327.52,353.74,368.92,327.4
191,2015-11-26,353.74,359.52,363.9,345.15
192,2015-11-27,359.52,355.83,360.08,350.49
193,2015-11-28,355.83,370.84,372.84,354.55
194,2015-11-29,370.84,377.97,382.56,367.87
195,2015-11-30,377.97,361.8,379.02,353.66
196,2015-12-01,361.8,359.98,363.43,347.16
197,2015-12-02,359.98,360.31,371.37,355.47
198,2015-12-03,360.31,361.67,363.95,354.31
199,2015-12-04,361.67,386.69,390.28,361.5
200,2015-12-05,386.69,393.38,402.19,382.62
201,2015-12-06,393.38,394.28,398.74,381.69
202,2015-12-07,394.28,410.67,411.07,388.03
203,2015-12-08,410.67,416.0,424.58,403.26
204,2015-12-09,416.0,415.49,420.36,409.53
205,2015-12-10,415.49,449.83,453.37,413.72
206,2015-12-11,449.83,432.29,467.71,403.69
207,2015-12-12,432.29,434.69,440.97,420.76
208,2015-12-13,434.69,442.0,449.45,428.84
209,2015-12-14,442.0,462.65,464.23,440.72
210,2015-12-15,462.65,453.98,465.16,437.37
211,2015-12-16,453.98,455.53,458.44,447.29
212,2015-12-17,455.53,463.18,466.12,453.46
213,2015-12-18,463.18,461.2,465.99,452.33
214,2015-12-19,461.2,441.78,462.76,431.1
215,2015-12-20,441.78,437.59,445.54,423.99
216,2015-12-21,437.59,437.03,443.22,433.25
217,2015-12-22,437.03,442.43,444.78,434.28
218,2015-12-23,442.43,452.98,460.62,441.76
219,2015-12-24,452.98,454.05,457.44,449.52
220,2015-12-25,454.05,415.37,456.48,400.45
221,2015-12-26,415.37,422.39,425.51,406.09
222,2015-12-27,422.39,421.76,429.85,417.14
223,2015-12-28,421.76,431.92,433.56,419.3
224,2015-12-29,431.92,427.15,435.04,420.77
225,2015-12-30,427.15,429.95,433.12,417.14
226,2015-12-31,429.95,433.99,437.95,425.86
227,2016-01-01,433.99,433.72,437.43,430.73
228,2016-01-02,433.72,430.7,434.14,423.09
229,2016-01-03,430.7,433.32,435.26,428.6
230,2016-01-04,433.32,431.2,435.25,428.87
231,2016-01-05,431.2,430.82,432.11,425.0
232,2016-01-06,430.82,457.05,457.54,428.52
233,2016-01-07,457.05,452.87,462.92,446.51
234,2016-01-08,452.87,448.31,454.55,444.9
235,2016-01-09,448.31,446.19,448.88,438.62
236,2016-01-10,446.19,447.72,451.08,441.77
237,2016-01-11,447.72,445.04,448.41,443.14
238,2016-01-12,445.04,432.18,443.72,420.39
